DATE_ID,DATE_ACTUAL,YEAR,QUARTER,MONTH,DAY,MONTH_NAME,MONTH_SHORT_NAME,YEAR_MONTH,WEEK_OF_YEAR,WEEK_START_DATE,DAY_OF_WEEK,DAY_NAME,DAY_SHORT_NAME,DAY_OF_YEAR,IS_WEEKEND,IS_WEEKDAY,DATE_STRING,DATE_INT,YEAR_QUARTER,FISCAL_YEAR,FISCAL_QUARTER,IS_TODAY,IS_YESTERDAY,IS_CURRENT_WEEK,IS_CURRENT_MONTH,IS_CURRENT_YEAR
8c28d7c3f1f92bd0278f3140384d4bd9,2021-01-01,2021,1,1,1,January,Jan,2021-01,53,2020-12-28,5,Friday,Fri,1,false,true,2021-01-01,20210101,2021-Q1,2020,4,false,false,false,false,false
e51c7857f1a504e7d7d388e910ff3656,2021-01-02,2021,1,1,2,January,Jan,2021-01,53,2020-12-28,6,Saturday,Sat,2,true,false,2021-01-02,20210102,2021-Q1,2020,4,false,false,false,false,false
32a590b0ae1c10ee0bf7139e8a60e9db,2021-01-03,2021,1,1,3,January,Jan,2021-01,53,2020-12-28,0,Sunday,Sun,3,true,false,2021-01-03,20210103,2021-Q1,2020,4,false,false,false,false,false
dbb489c32e1a1cec41f917a6232ce471,2021-01-04,2021,1,1,4,January,Jan,2021-01,1,2021-01-04,1,Monday,Mon,4,false,true,2021-01-04,20210104,2021-Q1,2020,4,false,false,false,false,false
e768f043105067cfe6ec8e992e45a2a6,2021-01-05,2021,1,1,5,January,Jan,2021-01,1,2021-01-04,2,Tuesday,Tue,5,false,true,2021-01-05,20210105,2021-Q1,2020,4,false,false,false,false,false
ecc3270c7386a8221a67e0336a6ec591,2021-01-06,2021,1,1,6,January,Jan,2021-01,1,2021-01-04,3,Wednesday,Wed,6,false,true,2021-01-06,20210106,2021-Q1,2020,4,false,false,false,false,false
c3b7e070016a02fc37525253b0d33289,2021-01-07,2021,1,1,7,January,Jan,2021-01,1,2021-01-04,4,Thursday,Thu,7,false,true,2021-01-07,20210107,2021-Q1,2020,4,false,false,false,false,false
2df0ab276f1508d6421c6c681a873af1,2021-01-08,2021,1,1,8,January,Jan,2021-01,1,2021-01-04,5,Friday,Fri,8,false,true,2021-01-08,20210108,2021-Q1,2020,4,false,false,false,false,false
11f33280278391247dd9b539317c1768,2021-01-09,2021,1,1,9,January,Jan,2021-01,1,2021-01-04,6,Saturday,Sat,9,true,false,2021-01-09,20210109,2021-Q1,2020,4,false,false,false,false,false
f57944677f2f27f696a01e4b72fcad0a,2021-01-10,2021,1,1,10,January,Jan,2021-01,1,2021-01-04,0,Sunday,Sun,10,true,false,2021-01-10,20210110,2021-Q1,2020,4,false,false,false,false,false
